Alpha(deg),Cl,Cd
-9.81,-0.824,-9.99999
-9.31,-0.769,-9.99999
-8.24,-0.754,0.02674
-7.30,-0.693,0.01782
-6.80,-0.618,0.01650
-6.23,-0.548,0.01506
-5.73,-0.467,0.01418
-5.23,-0.402,0.01308
-4.17,-0.261,0.01164
-3.10,-0.116,0.01087
-2.16,0.010,0.01065
-1.03,0.151,0.01031
-0.09,0.276,0.01042
0.97,0.407,0.01064
2.03,0.548,0.01052
3.04,0.678,0.01096
4.10,0.804,0.01118
5.04,0.925,0.01139
6.11,1.050,0.01183
7.17,1.166,0.01249
8.17,1.286,0.01315
9.24,1.387,0.01414
10.24,1.482,0.01556
10.74,1.513,0.01633
11.31,1.548,0.01776
11.81,1.558,0.01953
12.31,1.558,0.02129
12.56,1.553,0.03032
12.70,1.236,-9.99999
13.20,1.166,-9.99999
14.15,1.080,-9.99999
15.15,1.040,-9.99999
16.16,1.010,-9.99999
17.16,0.995,-9.99999
18.17,1.010,-9.99999
19.11,1.045,-9.99999